OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,ItemsInCart,ReferralSource,CustomerRating,TotalPrice
ORD000001,2023-01-01 00:00:00,C25795,Laptop,4.0,206.66461109579032,774 Main St,Online,Shipped,4.0,Referral,3.664780393491599,826.6584443831613
ORD000002,2023-01-01 01:00:00,C10860,Tablet,,743.8120516554243,215 Main St,Cash,Delivered,6.0,Google,2.049392600267103,743.8120516554243
ORD000003,2023-01-01 02:00:00,C86820,Desk,3.0,899.0674067502878,704 Main St,Credit Card,Pending,,Instagram,1.8132238840117587,2697.2022202508633
ORD000004,2023-01-01 03:00:00,C64886,Laptop,2.0,834.9929103157855,141 Main St,Online,Delivered,5.0,Referral,3.1038283970721627,1669.985820631571
ORD000005,2023-01-01 04:00:00,C16265,Laptop,4.0,174.74662769776762,895 Main St,Gift Card,Shipped,9.0,Facebook,,698.9865107910705
ORD000006,2023-01-01 05:00:00,C92386,Phone,2.0,132.6890253052481,478 Main St,Online,Shipped,7.0,Instagram,2.5973233317087487,265.3780506104962
ORD000007,2023-01-01 06:00:00,C47194,Printer,2.0,202.95096981850173,821 Main St,Gift Card,Shipped,8.0,Referral,3.6649396160231498,405.90193963700347
ORD000008,2023-01-01 07:00:00,C97498,Tablet,2.0,899.1021416152881,305 Main St,Gift Card,Shipped,5.0,Facebook,4.870649103233937,1798.2042832305763
ORD000009,2023-01-01 08:00:00,C54131,Chair,3.0,839.3000870697656,565 Main St,Gift Card,Shipped,5.0,Instagram,2.702613791262421,2517.900261209297
ORD000010,2023-01-01 09:00:00,C70263,Chair,1.0,388.92414845327914,831 Main St,Debit Card,Pending,7.0,Referral,1.8008957616292265,388.92414845327914
ORD000011,2023-01-01 10:00:00,C26023,Laptop,,974.7725056761078,379 Main St,Cash,Shipped,8.0,Email,4.269449613491137,974.7725056761078
ORD000012,2023-01-01 11:00:00,C51090,Monitor,1.0,1239.0978779806917,747 Main St,Online,Pending,9.0,Facebook,3.976798099442466,1239.0978779806917
ORD000013,2023-01-01 12:00:00,C77221,Tablet,1.0,110.28949177756095,717 Main St,Cash,Shipped,2.0,Email,4.438815552818975,110.28949177756095
ORD000014,2023-01-01 13:00:00,C74820,Desk,1.0,772.2884181446615,217 Main St,Credit Card,Returned,3.0,Google,1.8588749101715685,772.2884181446615
ORD000015,2023-01-01 14:00:00,C10769,Monitor,2.0,9196.342526124323,336 Main St,Online,Delivered,2.0,Referral,2.6193287833993404,18392.685052248646
ORD000016,2023-01-01 15:00:00,C69735,Monitor,5.0,415.85229425104626,408 Main St,Cash,Cancelled,7.0,Referral,4.92621775089215,2079.2614712552313
ORD000017,2023-01-01 16:00:00,C72955,Tablet,2.0,496.2678126750662,555 Main St,Cash,Shipped,2.0,Facebook,1.632169279105494,992.5356253501324
ORD000018,2023-01-01 17:00:00,C74925,Printer,2.0,939.7749593346065,574 Main St,Credit Card,Pending,2.0,Referral,3.6858032766217512,1879.549918669213
ORD000019,2023-01-01 18:00:00,C77969,Laptop,1.0,1352.0061754934186,199 Main St,Gift Card,Pending,2.0,Google,,1352.0061754934186
ORD000020,2023-01-01 19:00:00,C15311,Laptop,,1224.390409439204,360 Main St,Online,Delivered,,Referral,,1224.390409439204
ORD000021,2023-01-01 20:00:00,C93104,Laptop,1.0,895.5388176943961,404 Main St,Online,Delivered,1.0,Instagram,4.202038583182752,895.5388176943961
ORD000022,2023-01-01 21:00:00,C63707,Laptop,5.0,1108.8214907480112,453 Main St,Credit Card,Cancelled,2.0,Email,2.954344210223276,5544.107453740056
ORD000023,2023-01-01 22:00:00,C95305,Chair,4.0,578.9925818013081,385 Main St,Gift Card,Shipped,3.0,Google,4.22192677324764,2315.9703272052325
ORD000024,2023-01-01 23:00:00,C38693,Laptop,1.0,979.4000157431988,427 Main St,Online,Delivered,7.0,Google,2.7053396217613837,979.4000157431988
ORD000025,2023-01-02 00:00:00,C81932,Chair,5.0,725.9633071349576,202 Main St,Online,Pending,1.0,Email,,3629.816535674788
ORD000026,2023-01-02 01:00:00,C35658,Chair,4.0,325.4073978634633,162 Main St,Online,Shipped,,Email,,1301.6295914538532
ORD000027,2023-01-02 02:00:00,C94478,Printer,3.0,1067.5204971220228,786 Main St,Gift Card,Shipped,3.0,Google,1.5975179145513057,3202.5614913660684
ORD000028,2023-01-02 03:00:00,C28431,Laptop,1.0,856.8737241557919,381 Main St,Credit Card,Shipped,3.0,Email,2.6074780625969955,856.8737241557919
ORD000029,2023-01-02 04:00:00,C12747,Phone,1.0,570.0012938327076,540 Main St,Online,Cancelled,4.0,Facebook,3.9703727385689205,570.0012938327076
ORD000030,2023-01-02 05:00:00,C69150,Desk,3.0,1371.4418256140145,392 Main St,Cash,Shipped,4.0,Email,4.391751031034515,4114.325476842044
ORD000031,2023-01-02 06:00:00,C75725,Monitor,3.0,80.35447084876324,837 Main St,Gift Card,Shipped,7.0,Instagram,2.8404131967050494,241.06341254628973
ORD000032,2023-01-02 07:00:00,C94654,Chair,1.0,507.8710693117692,106 Main St,Debit Card,Shipped,,Instagram,3.3779073642337587,507.8710693117692
ORD000033,2023-01-02 08:00:00,C45773,Tablet,3.0,132.4780267775875,738 Main St,Credit Card,Cancelled,8.0,Facebook,4.379560271305161,397.4340803327625
ORD000034,2023-01-02 09:00:00,C77435,Tablet,2.0,1161.4646085213594,191 Main St,Cash,Shipped,,Email,4.25418471999328,2322.929217042719
ORD000035,2023-01-02 10:00:00,C66886,Desk,4.0,1068.0558084649992,289 Main St,Online,Delivered,7.0,Instagram,3.630895621444531,4272.223233859997
ORD000036,2023-01-02 11:00:00,C76803,Tablet,4.0,530.4607171676597,970 Main St,Debit Card,Shipped,2.0,Referral,4.260108417003419,2121.842868670639
ORD000037,2023-01-02 12:00:00,C41551,Phone,,1029.711208200256,575 Main St,Credit Card,Cancelled,,Email,3.303643033474548,1029.711208200256
ORD000038,2023-01-02 13:00:00,C21394,Tablet,2.0,624.1089779841273,610 Main St,Gift Card,Returned,6.0,Facebook,,1248.2179559682545
ORD000039,2023-01-02 14:00:00,C79092,Monitor,3.0,10372.116880723921,561 Main St,Debit Card,Shipped,4.0,Email,,31116.35064217176
